또 녹음하는 거	또|녹.음.하.는|거
나를 괴롭히면 뾰족한 침으로 콕 찌른단	나.를|괴.롭.히.면|뾰.족.한|침.으.로|콕|찌.른.단
나는 나는 누구일	나.는|나.는|누.구.일
딩동댕	딩.동.댕
나는 봄에 많이 나지 껍질을 벗기지 않고 그냥 먹	나.는|봄.에|많.이|나.지|껍.질.을|벗.기.지|않.고|그.냥|먹
초록색 모자를 쓰고 있어 빨간 얼굴에 까만 점이 아주 많단	초.록.색|모.자.를|쓰.고|있.어|빨.간|얼.굴.에|까.만|점.이|아.주|많.단
나는 나는 누구일	나.는|나.는|누.구.일
딩동	딩.동
나는 달콤한 맛이 나는 과일이야 내 몸은 길쭉하고 노란색이	나.는|달.콤.한|맛.이|나.는|과.일.이.야|내|몸.은|길.쭉.하.고|노.란.색.이
특이 원숭이가 좋아한단다 손으로 껍질을 벗겨서 먹	특.이|원.숭.이.가|좋.아.한.단.다|손.으.로|껍.질.을|벗.겨.서|먹
나는 나는 누구일	나.는|나.는|누.구.일
딩동댕	딩.동.댕
나는 바다에 가면 볼 수 있어 내 몸에는 공기가 가득 들어있고 아주 가볍단	나.는|바.다.에|가.면|볼|수|있.어|내|몸.에.는|공.기.가|가.득|들.어.있.고|아.주|가.볍.단
꼭 도넛처럼 생겼지 수영을 못하는 사람에게 꼭 필요	꼭|도.넛.처.럼|생.겼.지|수.영.을|못.하.는|사.람.에.게|꼭|필.요
나는 나는 누구일	나.는|나.는|누.구.일
튜	튜
나는 길에서 볼 수 있어 다리는 있지만 걸어 다닐 수는 없	나.는|길.에.서|볼|수|있.어|다.리.는|있.지.만|걸.어|다.닐|수.는|없
내 몸은 온통 빨간색이야 날마다 편지를 꿀꺽꿀꺽 먹고 산단	내|몸.은|온.통|빨.간.색.이.야|날.마.다|편.지.를|꿀.꺽.꿀.꺽|먹.고|산.단
나는 나는 누구일	나.는|나.는|누.구.일
음 우체	음|우.체
응 나는 길쭉한 다리가 하나야 날마다 길에 서서 눈을 깜박거린단	응|나.는|길.쭉.한|다.리.가|하.나.야|날.마.다|길.에|서.서|눈.을|깜.박.거.린.단
빨간 색일 때는 모두 멈춰야 해 초록색으로 바뀌면 지나가도 돼	빨.간|색.일|때.는|모.두|멈.춰.야|해|초.록.색.으.로|바.뀌.면|지.나.가.도|돼
나는 나는 누구일	나.는|나.는|누.구.일
딩동	딩.동
나는 놀이터에서 볼 수 있어 아이들이 신나게 타고 노는 거	나.는|놀.이.터.에.서|볼|수|있.어|아.이.들.이|신.나.게|타.고|노.는|거
언제나 같은 자리에 서 있고 움직이지 않	언.제.나|같.은|자.리.에|서|있.고|움.직.이.지|않
차례차례 줄을 서서 타야 해 다리로 올라가서 엉덩이로 내려오는 거란	차.례.차.례|줄.을|서.서|타.야|해|다.리.로|올.라.가.서|엉.덩.이.로|내.려.오.는|거.란
나는 나는 누구일	나.는|나.는|누.구.일
나는 숲 속에서 볼 수 있어 뾰족뾰족 가시가 있	나.는|숲|속.에.서|볼|수|있.어|뾰.족.뾰.족|가.시.가|있
동글동글 동그란 모양이야 어려서는 초록색이고 커서는 갈색이	동.글.동.글|동.그.란|모.양.이.야|어.려.서.는|초.록.색.이.고|커.서.는|갈.색.이
높은 나뭇가지에 주렁주렁 달려있단	높.은|나.뭇.가.지.에|주.렁.주.렁|달.려.있.단
가시 옷 속에서는 맛있는 얌냠이가 들어있	가.시|옷|속.에.서.는|맛.있.는|얌.냠.이.가|들.어.있
나는 나는 누구일	나.는|나.는|누.구.일
어 누구	어|누.구
나는 땅에서 살아 다리가 네 개야 그런데 앞다리는 짧고 뒷다리는 길	나.는|땅.에.서|살.아|다.리.가|네|개.야|그.런.데|앞.다.리.는|짧.고|뒷.다.리.는|길
아니 잘 들어 	아.니|잘|들.어.|
배에 주머니가 있어서 아기를 넣고 다닌단다 나는 나는 누구일	배.에|주.머.니.가|있.어.서|아.기.를|넣.고|다.닌.단.다|나.는|나.는|누.구.일
나는 다리가 두 개야 뚱뚱한 엉덩이를 흔들며 뒤뚱뒤뚱 걸어 다	나.는|다.리.가|두|개.야|뚱.뚱.한|엉.덩.이.를|흔.들.며|뒤.뚱.뒤.뚱|걸.어|다
날개는 있지만 날지는 못한단다 하지만 수영은 잘 	날.개.는|있.지.만|날.지.는|못.한.단.다|하.지.만|수.영.은|잘.|
아이 그거 수영하는 거야 물 속에	아.이|그.거|수.영.하.는|거.야|물|속.에
수영하는 거야 날고 있는 거 같았	수.영.하.는|거.야|날.고|있.는|거|같.았
나는 나는 누구일	나.는|나.는|누.구.일
에이 난 누구	에.이|난|누.구
딩동댕	딩.동.댕
내 몸은 쭉쭉 잘 늘어나 공기를 많이 먹을수록 뚱뚱해진단	내|몸.은|쭉.쭉|잘|늘.어.나|공.기.를|많.이|먹.을.수.록|뚱.뚱.해.진.단
하지만 너무 많이 먹으면 펑 터	하.지.만|너.무|많.이|먹.으.면|펑|터
세게 누르거나 뾰족한 것에 찔려도 터져버리지 나는 나는 누구일	세.게|누.르.거.나|뾰.족.한|것.에|찔.려.도|터.져.버.리.지|나.는|나.는|누.구.일
응 나는 누구	응|나.는|누.구
나는 겨울에만 볼 수 있	나.는|겨.울.에.만|볼|수|있
디굴디굴 굴러다니네 친구	디.굴.디.굴|굴.러.다.니.네|친.구
내 몸	내|몸
이거 굴러다닌다고 이렇게 그림으로 표시해 놓은 거	이.거|굴.러.다.닌.다.고|이.렇.게|그.림.으.로|표.시.해|놓.은|거
구른다는 뜻 이렇게 이렇게 굴렀다 이거	구.른.다.는|뜻|이.렇.게|이.렇.게|굴.렀.다|이.거
내 몸은 뚱뚱하고 색깔은 하얀색이다 사람이지만 집에는 들어갈 수 없	내|몸.은|뚱.뚱.하.고|색.깔.은|하.얀.색.이.다|사.람.이.지.만|집.에.는|들.어.갈|수|없
따스한 햇볕을 받으면 내 몸은 점점 작아진단다 나는 나는 누구일	따.스.한|햇.볕.을|받.으.면|내|몸.은|점.점|작.아.진.단.다|나.는|나.는|누.구.일
눈사	눈.사
나는 아이들이 좋아하는 놀이감이	나.는|아.이.들.이|좋.아.하.는|놀.이.감.이
동글동글 동그란 모양이란다 데굴데굴 잘 굴러가	동.글.동.글|동.그.란|모.양.이.란.다|데.굴.데.굴|잘|굴.러.가
위에서 봐도 아래에서 봐도 옆에서 봐도 모양이 모두 똑같	위.에.서|봐.도|아.래.에.서|봐.도|옆.에.서|봐.도|모.양.이|모.두|똑.같
세게 칠수록 높이 높이 튀어 오르지 나는 나는 누구일	세.게|칠.수.록|높.이|높.이|튀.어|오.르.지|나.는|나.는|누.구.일
딩동댕	딩.동.댕
나는 추운 겨울에만 볼 수 있어 내 몸은 뾰족하고 딱딱	나.는|추.운|겨.울.에.만|볼|수|있.어|내|몸.은|뾰.족.하.고|딱.딱
지붕 끝에 매달려 거꾸로 키가 자라	지.붕|끝.에|매.달.려|거.꾸.로|키.가|자.라
날씨가 따뜻해 지면 물이 되어 땅으로 떨어진단	날.씨.가|따.뜻.해|지.면|물.이|되.어|땅.으.로|떨.어.진.단
나는 나는 누구일	나.는|나.는|누.구.일
딩동댕	딩.동.댕
나는 물을 먹고 쑥쑥 자라 새들이 찾아와 집을 짓기도 하	나.는|물.을|먹.고|쑥.쑥|자.라|새.들.이|찾.아.와|집.을|짓.기.도|하
가을에는 울긋불긋 예쁜 옷으로 갈아입고 겨울에는 옷을 훌훌 벗어버리	가.을.에.는|울.긋.불.긋|예.쁜|옷.으.로|갈.아.입.고|겨.울.에.는|옷.을|훌.훌|벗.어.버.리
나는 나는 누구일	나.는|나.는|누.구.일
딩동댕동 오늘의 수수께끼 백 	딩.동.댕.동|오.늘.의|수.수.께.끼|백.|
다 읽었	다|읽.었
공룡 엄마는 무슨 공룡 줄 건	공.룡|엄.마.는|무.슨|공.룡|줄|건
아하 트리케라톱	아.하|트.리.케.라.톱
좋	좋
엄마도 공룡 하나 더 줘 똑같이 한 마리씩 두 마리씩 하는 건 어	엄.마.도|공.룡|하.나|더|줘|똑.같.이|한|마.리.씩|두|마.리.씩|하.는|건|어
엄	엄
두 마	두|마
우헤 그럼 엄마는 이거 트리케라톱스랑 트리케라톱스 새끼만 가	우.헤|그.럼|엄.마.는|이.거|트.리.케.라.톱.스.랑|트.리.케.라.톱.스|새.끼.만|가
알았	알.았
붕붕붕	붕.붕.붕
어 어서 갖고 	어|어.서|갖.고.|
그러게 같이 떨어졌네 쓰러져	그.러.게|같.이|떨.어.졌.네|쓰.러.져
웃기	웃.기
아이	아.이
붕붕붕붕붕붕붕 소풍을 가야지 트리케라톱스 풀 먹으	붕.붕.붕.붕.붕.붕.붕|소.풍.을|가.야.지|트.리.케.라.톱.스|풀|먹.으
공룡 숲 속으로 놀러 간다 랄랄랄랄라랄랄랄랄랄	공.룡|숲|속.으.로|놀.러|간.다|랄.랄.랄.랄.라.랄.랄.랄.랄.랄
나는 초식공룡 풀 뜯으러 공룡 마을로 산책 가고 있지	나.는|초.식.공.룡|풀|뜯.으.러|공.룡|마.을.로|산.책|가.고|있.지
육식공룡은 어디 가	육.식.공.룡.은|어.디|가
소풍 나도 소풍 간다 어 공룡 마을에 다 왔	소.풍|나.도|소.풍|간.다|어|공.룡|마.을.에|다|왔
여기 나무들이 있	여.기|나.무.들.이|있
자 가자 애기 트리케라톱스도 따라와 축축축축	자|가.자|애.기|트.리.케.라.톱.스.도|따.라.와|축.축.축.축
허 어디서 저렇게 큰 나무가 생겼	허|어.디.서|저.렇.게|큰|나.무.가|생.겼
우와 맛있다 얌냠냠냠냠	우.와|맛.있.다|얌.냠.냠.냠.냠
어 육식공룡이 잡아 먹으면 안 돼 빨리 먹고 가야겠	어|육.식.공.룡.이|잡.아|먹.으.면|안|돼|빨.리|먹.고|가.야.겠
얌냠냠냠냠냠냠얌냠냠냠냠냠냠 자 가자 툭툭툭툭	얌.냠.냠.냠.냠.냠.냠.얌.냠.냠.냠.냠.냠.냠|자|가.자|툭.툭.툭.툭
육식공룡 삐융삐융삐융삐융삐융삐융삐융삐	육.식.공.룡|삐.융.삐.융.삐.융.삐.융.삐.융.삐.융.삐.융.삐
잘 	잘.|
어 그거 뭐	어|그.거|뭐
백미러가 빠졌	백.미.러.가|빠.졌
어우 이	어.우|이
줘 봐 부러졌나 아니면 아빠한테 고쳐달라고 해도 되	줘|봐|부.러.졌.나|아.니.면|아.빠.한.테|고.쳐.달.라.고|해.도|되
부러진 거 같기도 하	부.러.진|거|같.기.도|하
너무 세게 부딪쳤	너.무|세.게|부.딪.쳤
나중에 아빠한테 본드로 부쳐달라고 할	나.중.에|아.빠.한.테|본.드.로|부.쳐.달.라.고|할
그건 안 떨어졌	그.건|안|떨.어.졌
이쪽만 떨어졌네 오른쪽 것	이.쪽.만|떨.어.졌.네|오.른.쪽|것
세윤아 이거 오디오 위에 올려 	세.윤.아|이.거|오.디.오|위.에|올.려.|
나중에 아빠오면 고칠 수 있나 여쭤보	나.중.에|아.빠.오.면|고.칠|수|있.나|여.쭤.보
에	에
떨어져버렸	떨.어.져.버.렸
세윤이 뭐해 테이프 빼고 있었	세.윤.이|뭐.해|테.이.프|빼.고|있.었
그거 갑자기 왜 빼놨	그.거|갑.자.기|왜|빼.놨
아 새끼 공룡 떨어졌	아|새.끼|공.룡|떨.어.졌
그러	그.러
부앙부	부.앙.부
아 거기가 공룡 주차장이	아|거.기.가|공.룡|주.차.장.이
알았	알.았
슈앙부	슈.앙.부
나도 따라갈	나.도|따.라.갈
응 알았	응|알.았
부앙 	부.앙.|
응 그렇게 바짝 옆에 붙어 있어야 	응|그.렇.게|바.짝|옆.에|붙.어|있.어.야.|
으흐 도	으.흐|도
어 이건 	어|이.건.|
칙칙폭폭칙칙폭폭칙칙폭폭칙칙폭폭칙칙폭	칙.칙.폭.폭.칙.칙.폭.폭.칙.칙.폭.폭.칙.칙.폭.폭.칙.칙.폭
오 이번에도 칙칙폭폭칙칙폭폭칙칙폭폭칙칙폭	오|이.번.에.도|칙.칙.폭.폭.칙.칙.폭.폭.칙.칙.폭.폭.칙.칙.폭
오 공룡들은 이제 뭐해 그냥 쉬면 	오|공.룡.들.은|이.제|뭐.해|그.냥|쉬.면.|
그러	그.러
어디	어.디
불 난 데가 있나 없나 살펴 봐야 	불|난|데.가|있.나|없.나|살.펴|봐.야.|
공룡들이 소방대원 공룡들인 거	공.룡.들.이|소.방.대.원|공.룡.들.인|거
음	음
알았어 자 출	알.았.어|자|출
공룡 마을에 불이 났는지 살펴 보러 가	공.룡|마.을.에|불.이|났.는.지|살.펴|보.러|가
붕 여기 불이 났대 소방차들이 모여 있	붕|여.기|불.이|났.대|소.방.차.들.이|모.여|있
진	진
트리케라톱스가 소방차에 올라타서 불을 끄고 있	트.리.케.라.톱.스.가|소.방.차.에|올.라.타.서|불.을|끄.고|있
쉭	쉭
진	진
그럼 어떻게 하	그.럼|어.떻.게|하
우와 자 꼬마 트리케라톱스 불을 끄러 올라가라 축축축	우.와|자|꼬.마|트.리.케.라.톱.스|불.을|끄.러|올.라.가.라|축.축.축
티라노사우르스 어 사다리를 다시 세워 	티.라.노.사.우.르.스|어|사.다.리.를|다.시|세.워.|
어어	어.어
어어	어.어
우앙 	우.앙.|
불을 끄자 쉭	불.을|끄.자|쉭
어 빨리 호스를 구해 	어|빨.리|호.스.를|구.해.|
여기 있다 여기 있다 호스 	여.기|있.다|여.기|있.다|호.스.|
이거 아니	이.거|아.니
어우 이런 빨리 구해와 그러면 불 나겠	어.우|이.런|빨.리|구.해.와|그.러.면|불|나.겠
그거 물 트는 거	그.거|물|트.는|거
지금 불 끄고 있	지.금|불|끄.고|있
우와 오	우.와|오
진	진
아	아
아이	아.이
아이	아.이
그러니까 윙 엄마가 다시 세웠어 안전하게 세웠	그.러.니.까|윙|엄.마.가|다.시|세.웠.어|안.전.하.게|세.웠
자 공룡들은 불을 다 껐나 아직 꺼야 되	자|공.룡.들.은|불.을|다|껐.나|아.직|꺼.야|되
아직 꺼야 되	아.직|꺼.야|되
다 껐	다|껐
공룡들은 다시 자동차로 복귀하라 	공.룡.들.은|다.시|자.동.차.로|복.귀.하.라.|
아 트리케라톱스 꽈	아|트.리.케.라.톱.스|꽈
아 다쳤	아|다.쳤
안 다쳤	안|다.쳤
트리케라톱스는 튼튼	트.리.케.라.톱.스.는|튼.튼
왕 자 다시 주차장으로 출	왕|자|다.시|주.차.장.으.로|출
응 조그만 게 안 갔	응|조.그.만|게|안|갔
애는 조그만 해서 아직은 훈련에 참가할 수가 없었	애.는|조.그.만|해.서|아.직.은|훈.련.에|참.가.할|수.가|없.었
지금은 그저 어른 공룡들이 하는 걸 지켜봤	지.금.은|그.저|어.른|공.룡.들.이|하.는|걸|지.켜.봤
다음 불 날 때는 애도 가서 싸우라고 하	다.음|불|날|때.는|애.도|가.서|싸.우.라.고|하
근데 애는 왜 이렇게 잘 못 서 불량품인가 봐 세윤	근.데|애.는|왜|이.렇.게|잘|못|서|불.량.품.인.가|봐|세.윤
잘못 만든 	잘.못|만.든.|
응 알았어 그러면 트리케라톱스는 저쪽 주차장으로 갈	응|알.았.어|그.러.면|트.리.케.라.톱.스.는|저.쪽|주.차.장.으.로|갈
주차장으로 가	주.차.장.으.로|가
저리로 옮겼	저.리.로|옮.겼
알았어 	알.았.어.|
알았어 그러면은 육식공룡들은 그리로 	알.았.어|그.러.면.은|육.식.공.룡.들.은|그.리.로.|
안녕 다음에 또 만	안.녕|다.음.에|또|만
아이	아.이
세윤	세.윤
책 보	책|보
자 무슨 책 읽을까 오늘	자|무.슨|책|읽.을.까|오.늘
요	요
울지 말고 말하	울.지|말.고|말.하
으응 아기곰이 울고 있	으.응|아.기.곰.이|울.고|있
아기곰은 무슨 일이든 울기부터 해	아.기.곰.은|무.슨|일.이.든|울.기.부.터|해
그래서 별명이 징징이래	그.래.서|별.명.이|징.징.이.래
으앙 으	으.앙|으
그네가 타고 싶은 아기곰이 울고 있네	그.네.가|타.고|싶.은|아.기.곰.이|울.고|있.네
그네가 타고 싶은 는 울지 않고 이렇게 말해	그.네.가|타.고|싶.은|는|울.지|않.고|이.렇.게|말.해
나 한번 타게 해줄	나|한.번|타.게|해.줄
그랬더니 악어	그.랬.더.니|악.어
그래 조금만 기달려 나 타고 너 	그.래|조.금.만|기.달.려|나|타.고|너.|
이	이
장난감이 망가지면 아기곰은 울기부터 해	장.난.감.이|망.가.지.면|아.기.곰.은|울.기.부.터|해
장난감이 망가질 때 친구는 울지않고 이렇게 말해	장.난.감.이|망.가.질|때|친.구.는|울.지.않.고|이.렇.게|말.해
아빠 이거 고쳐주세	아.빠|이.거|고.쳐.주.세
그래 같이 고쳐볼	그.래|같.이|고.쳐.볼
오 울지 않고 말하면 이렇게 금방 해결되는구	오|울.지|않.고|말.하.면|이.렇.게|금.방|해.결.되.는.구
으	으
친구와 살짝 부닥친 아기곰이 울고 있어	친.구.와|살.짝|부.닥.친|아.기.곰.이|울.고|있.어
놀다가 부닥쳤을 때 친구는 울지 않고 이렇게 말해	놀.다.가|부.닥.쳤.을|때|친.구.는|울.지|않.고|이.렇.게|말.해
아이 아	아.이|아
너는 괜찮	너.는|괜.찮
다음부터는 서로 조심하	다.음.부.터.는|서.로|조.심.하
으으	으.으
아기곰이 왜 또 울	아.기.곰.이|왜|또|울
장난감이 갖고 싶으면 아기곰은 때를 쓰며 울어	장.난.감.이|갖.고|싶.으.면|아.기.곰.은|때.를|쓰.며|울.어
어라 이거	어.라|이.거
엄마랑 수퍼마켙에 갔는데 아기곰이 장난감을 보더니 사고 싶었던거	엄.마.랑|수.퍼.마.켙.에|갔.는.데|아.기.곰.이|장.난.감.을|보.더.니|사.고|싶.었.던.거
사달라며 막 조르고 있	사.달.라.며|막|조.르.고|있
그런데 친구는 자전거를 갖고 싶을 때 울지 않고 이렇게 말해	그.런.데|친.구.는|자.전.거.를|갖.고|싶.을|때|울.지|않.고|이.렇.게|말.해
엄마 자전거 갖고 싶어	엄.마|자.전.거|갖.고|싶.어
엄마는 부드러운 목소리로 말씀하세	엄.마.는|부.드.러.운|목.소.리.로|말.씀.하.세
지금 타기에는 자전거가 너무 크구	지.금|타.기.에.는|자.전.거.가|너.무|크.구
